time_idx,center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
27,0,0,0,0,0,0.0,0.0,pca,-0.29121998077464706,0.24556669555395144
27,0,1,0,1,4,0.33333334,0.0,pca,-0.15483056778946303,0.09456214696228163
28,0,1,1,1,5,0.6666667,0.0,pca,0.31525005063961664,0.016370193895697993
28,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685172705013,-0.23596476544292974
28,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685327027052,-0.2359647581950783
29,0,1,1,1,5,0.6666667,0.0,pca,0.39538805899971097,-0.05453614242188867
31,0,1,0,1,4,0.33333334,0.0,pca,0.02197900454848259,0.1004519182741048
31,0,1,1,1,5,0.6666667,0.0,pca,0.3953880725439398,-0.05453615653756019
31,0,0,0,0,0,0.0,0.0,pca,-0.07018580314582736,0.31894347910608056
32,0,1,1,1,5,0.6666667,0.0,pca,0.3953880725439398,-0.05453615653756019
32,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685661896251,-0.23596476656591173
32,0,0,0,0,0,0.0,0.0,pca,-0.1507637747945878,0.27172665461572326
32,1,0,0,0,2,0.33333334,1.0,pca,-0.24107220528912687,-0.15529029374142103
32,1,0,0,0,2,0.33333334,1.0,pca,-0.10199117526187729,-0.2066730339853575
33,0,1,1,1,5,0.6666667,0.0,pca,0.3953880725439398,-0.05453615653756019
33,0,0,1,0,1,0.33333334,0.0,pca,0.08841523431301004,0.2072847003381215
34,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685661896251,-0.23596476656591173
34,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685661896251,-0.23596476656591173
34,0,1,1,1,5,0.6666667,0.0,pca,0.3953880725439398,-0.05453615653756019
34,1,0,0,0,2,0.33333334,1.0,pca,-0.08250684634860103,-0.23596474981167317
35,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685710099492,-0.23596476824024906
35,0,0,0,0,0,0.0,0.0,pca,-0.07018581292540649,0.318943452883178
35,0,0,0,0,0,0.0,0.0,pca,-0.295046361208564,0.22547395215040833
