cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
kmeans,3,1,8,2.935523158176578,0.9785077193921926,0.9943269428453947,0.17544716282894737,0.9941679302014803,0.04521397050987055,0.015071323503290183,2.5699013157853834e-05,129,2.934110145298921,0.9780367150996403,False
kmeans,3,3,16,3.796933807145278,0.9492334517863195,0.9942883943256579,0.17588404605263158,0.9950577585320723,0.03729966145917631,0.009324915364794078,0.0008480674342105088,1515,3.7926552278318377,0.9481638069579594,False
kmeans,3,2,16,3.796933807145278,0.9492334517863195,0.9941213507401315,0.17648154810855263,0.9937728078741777,0.0469580258986425,0.011739506474660625,0.0001863178453946901,634,3.7926552278318377,0.9481638069579594,False
gmm,3,1,8,2.880127148287275,0.9600423827624249,0.9935752467105263,0.23573704769736842,0.9934178402549342,0.04170454737609848,0.013901515792032826,0.0,41,2.87756984352668,0.9591899478422267,False
gmm,3,1,4,1.9870272091249261,0.9935136045624631,0.9926243832236842,0.2973183079769737,0.993029142680921,0.053339852705377305,0.026669926352688653,0.0,21,1.9874938269623734,0.9937469134811867,False
kmeans,3,1,16,3.796933807145278,0.9492334517863195,0.9922645970394737,0.17577482524671054,0.9923095703125,0.061204938385969014,0.015301234596492254,5.139802631581869e-05,199,3.7926552278318377,0.9481638069579594,False
kmeans,3,0,2,0.993783854774031,0.993783854774031,0.8375693873355263,0.5472090871710527,0.8366683156866777,0.608265333659594,0.608265333659594,0.0,2,0.9938533466720022,0.9938533466720022,False
gmm,3,0,2,0.978380816984245,0.978380816984245,0.8304636101973685,0.5849802117598685,0.8279402883429277,0.5122604865151942,0.5122604865151942,0.0,2,0.9789708092587467,0.9789708092587467,False
gmm,2,0,2,0.9943215214179282,0.9943215214179282,0.830309416118421,0.5458598889802632,0.828630949321546,0.6314040796108525,0.6314040796108525,0.0,2,0.99420917511853,0.99420917511853,False
gmm,1,0,2,0.994368067554267,0.994368067554267,0.8299753289473685,0.5456992701480263,0.8282615260074013,0.6325851584489979,0.6325851584489979,0.0,2,0.9942553499844393,0.9942553499844393,False
gmm,2,0,8,2.7837507387318956,0.9279169129106318,0.8180509868421053,0.23936060855263158,0.8169539602179277,0.6386673617388664,0.21288912057962214,0.0,8,2.779329181683152,0.9264430605610506,False
kmeans,3,0,16,3.796933807145278,0.9492334517863195,0.8065571032072368,0.17648797286184212,0.8066068950452303,0.6593813089467726,0.16484532723669315,0.0,16,3.7926552278318377,0.9481638069579594,False
gmm,1,0,4,1.8915478580149663,0.9457739290074831,0.7831260279605263,0.3491981907894737,0.7810219212582237,0.6329546216758201,0.31647731083791003,0.0,4,1.891457633921838,0.945728816960919,False
gmm,2,0,4,1.8735784725735072,0.9367892362867536,0.7826441714638158,0.34660901521381576,0.7801513671875,0.6370056277763393,0.31850281388816964,0.0,4,1.8715284669202406,0.9357642334601203,False
kmeans,1,0,8,2.8831771555957113,0.9610590518652371,0.7820402446546053,0.23902009662828946,0.7806010999177632,0.6811084842853313,0.22703616142844377,0.0,8,2.8810609831777185,0.9603536610592395,False
gmm,0,0,4,1.8969257472657928,0.9484628736328964,0.7818025287828947,0.3491339432565789,0.7807376259251645,0.677116878809934,0.338558439404967,0.0,4,1.8969424697129145,0.9484712348564572,False
kmeans,1,0,4,1.8949599799438546,0.9474799899719273,0.7818025287828947,0.34720651726973684,0.7804003263774671,0.638217662551434,0.319108831275717,0.0,4,1.8938046776042317,0.9469023388021158,False
kmeans,2,0,8,2.8776908575054074,0.9592302858351358,0.7808837890625,0.23911646792763158,0.7787314967105263,0.6473431537662929,0.21578105125543098,0.0,8,2.8748977872872494,0.9582992624290831,False
kmeans,1,0,16,3.715234296045773,0.9288085740114432,0.7801834909539473,0.17789499383223684,0.7800517835115132,0.6448670397638168,0.1612167599409542,0.0,16,3.711265910959864,0.927816477739966,False
kmeans,2,0,16,3.785539310761216,0.946384827690304,0.7793611225328947,0.17649439761513158,0.7791121633429277,0.6536050885976737,0.16340127214941844,0.0,16,3.7815361346404646,0.9453840336601161,False
gmm,1,0,8,2.8986276273691383,0.9662092091230461,0.7733154296875,0.19917377672697367,0.7721541555304277,0.7181774898206426,0.23939249660688086,0.0,8,2.897609498584681,0.9658698328615604,False
kmeans,0,0,8,2.8829810509706864,0.9609936836568954,0.7731676603618421,0.23372609991776316,0.7713655170641447,0.6776772733001986,0.22589242443339952,0.0,8,2.8814903855697658,0.9604967951899219,False
gmm,3,0,8,2.880127148287275,0.9600423827624249,0.773084138569079,0.23743318256578946,0.7732335140830592,0.6624922187119433,0.22083073957064778,0.0,8,2.87756984352668,0.9591899478422267,False
gmm,3,0,16,3.790016295966215,0.9475040739915538,0.7700516550164473,0.17362253289473684,0.7696918688322368,0.6725680577169674,0.16814201442924184,0.0,16,3.787781869239205,0.9469454673098012,False
